unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
873458f9-2500-4a48-b2b4-f40500996207,1609249099.7114902,0.0,None,"['united_states', 19, 'aavail_basic', 22]",0.1,000:00:00
1597038b-b650-4a0a-8f4c-c3fd333bac7a,1609249099.7118452,0.0,None,"['united_states', 28, 'aavail_premium', 19]",0.1,000:00:00
2b9857e1-212c-46d2-9ad3-897881bc2f69,1609249099.712117,0.0,None,"['united_states', 41, 'aavail_basic', 21]",0.1,000:00:00
1b45fa7e-b066-4d0f-879f-35607c746366,1609249099.7123818,0.0,None,"['united_states', 44, 'aavail_premium', 22]",0.1,000:00:00
ccbfdd24-031f-40db-afd2-3e4d6bd7fefa,1609249099.712645,0.0,None,"['united_states', 17, 'aavail_unlimited', 20]",0.1,000:00:00
74311eb9-0d77-4fbb-8205-ec4dd9b6b8f3,1609249099.712904,0.0,None,"['united_states', 19, 'aavail_basic', 20]",0.1,000:00:00
f2909a6d-7c5e-4037-bee4-b7566d7f2b6d,1609249099.713166,0.0,None,"['united_states', 24, 'aavail_basic', 21]",0.1,000:00:00
00f851b2-286f-4669-b2e7-8c1603c62611,1609249099.7134259,0.0,None,"['united_states', 24, 'aavail_basic', 26]",0.1,000:00:00
fe5db9c3-518e-4109-85ed-c721c78a3352,1609249099.713687,0.0,None,"['united_states', 19, 'aavail_basic', 17]",0.1,000:00:00
06f28013-3ad6-4763-ad0d-69943704ff51,1609249099.7139468,1.0,None,"['singapore', 38, 'aavail_unlimited', 14]",0.1,000:00:00
14a70302-f5cc-4e04-873e-e7723a5040f9,1609249099.7142148,0.0,None,"['united_states', 41, 'aavail_basic', 20]",0.1,000:00:00
d165c97f-8156-4c8c-8dd9-d6a8c71843fd,1609249099.714478,1.0,None,"['singapore', 39, 'aavail_premium', 9]",0.1,000:00:00
a6ef35f0-0ee8-4253-912a-e0970f09d9d3,1609249099.714745,0.0,None,"['united_states', 23, 'aavail_premium', 18]",0.1,000:00:00
e440c5d6-effc-4d69-bba7-c1dbc8ec5625,1609249099.715008,0.0,None,"['united_states', 20, 'aavail_premium', 22]",0.1,000:00:00
9eb6b473-98c8-4e8d-b144-66fc8f66c6ec,1609249099.7152698,0.0,None,"['united_states', 49, 'aavail_unlimited', 19]",0.1,000:00:00
21237e43-9c8e-484a-90ce-aa44f59bab6b,1609249099.715538,0.0,None,"['united_states', 23, 'aavail_basic', 17]",0.1,000:00:00
cb4a40ec-5bb7-4f3c-8af1-bd5444e3e139,1609249099.715886,0.0,None,"['united_states', 33, 'aavail_basic', 20]",0.1,000:00:00
61264aef-81c4-4902-ba37-ba2af6900f7f,1609249099.7161658,0.0,None,"['united_states', 34, 'aavail_premium', 12]",0.1,000:00:00
e51f6b54-b2d0-4f2f-8dbd-bacc6dae100f,1609249099.716437,0.0,None,"['united_states', 22, 'aavail_premium', 19]",0.1,000:00:00
e0a747a2-e502-482b-b8c3-e261402180b4,1609249099.716801,0.0,None,"['united_states', 23, 'aavail_basic', 21]",0.1,000:00:00
420361ef-3a7b-4c88-8a6e-37f746b7750a,1609249099.71708,0.0,None,"['united_states', 33, 'aavail_unlimited', 14]",0.1,000:00:00
35122bf6-b13f-4c23-ba8c-5bf6d57e0b85,1609249099.717351,0.0,None,"['united_states', 20, 'aavail_basic', 17]",0.1,000:00:00
5c3e7dd6-b506-43a7-a098-a93daf3da948,1609249099.717622,1.0,None,"['singapore', 22, 'aavail_unlimited', 10]",0.1,000:00:00
50e7e30f-62ad-4eed-b662-ca30f0baab42,1609249099.717887,0.0,None,"['singapore', 22, 'aavail_basic', 15]",0.1,000:00:00
605df31c-5aeb-4574-beee-238e578b4eb4,1609249099.7181492,1.0,None,"['singapore', 20, 'aavail_premium', 16]",0.1,000:00:00
0844ccb2-294b-4d90-8c05-92145de7146b,1609249099.718413,0.0,None,"['united_states', 48, 'aavail_basic', 22]",0.1,000:00:00
b08c1ad0-0f94-41dd-accd-9562d90c85cc,1609249099.718675,0.0,None,"['united_states', 49, 'aavail_basic', 22]",0.1,000:00:00
af313c20-875e-4107-8bad-6729af4e5841,1609249099.7189388,0.0,None,"['singapore', 14, 'aavail_basic', 16]",0.1,000:00:00
237d6c55-9b5f-4210-8364-cf505eecbcd4,1609249099.7192,0.0,None,"['united_states', 45, 'aavail_unlimited', 20]",0.1,000:00:00
e16b0571-25c3-4d25-8c23-b09b6d69136e,1609249099.719462,0.0,None,"['singapore', 18, 'aavail_basic', 7]",0.1,000:00:00
cc116d13-e266-44ca-a97b-bdb2a73b6c1b,1609249099.719722,0.0,None,"['united_states', 22, 'aavail_premium', 18]",0.1,000:00:00
fd27fcea-1fe4-45bd-b251-9e517d663f37,1609249099.719979,0.0,None,"['united_states', 22, 'aavail_unlimited', 8]",0.1,000:00:00
47ac0b40-7009-4d8a-a6a6-16d4ec57ec1c,1609249099.720238,0.0,None,"['united_states', 19, 'aavail_premium', 21]",0.1,000:00:00
55442fe6-109f-4353-8a8e-66ba10302adc,1609249099.72057,0.0,None,"['united_states', 20, 'aavail_unlimited', 19]",0.1,000:00:00
f4e8aaaa-06d1-4350-a375-dc5a3e664add,1609249099.720831,0.0,None,"['united_states', 39, 'aavail_basic', 17]",0.1,000:00:00
db713477-47fa-4d81-b5b5-cb5fef4e9482,1609249099.7210891,0.0,None,"['united_states', 22, 'aavail_basic', 20]",0.1,000:00:00
359a7011-ca65-46f5-900b-df133b45c00c,1609249099.721348,1.0,None,"['singapore', 21, 'aavail_unlimited', 16]",0.1,000:00:00
965a8e68-6d09-4021-9e29-7f8b0a2821e8,1609249099.721607,0.0,None,"['united_states', 23, 'aavail_premium', 15]",0.1,000:00:00
d32341f8-f4a3-4689-991a-52d89189249f,1609249099.721884,1.0,None,"['singapore', 22, 'aavail_unlimited', 14]",0.1,000:00:00
304969a2-b788-45fe-a5bd-20513197f6c4,1609249099.722137,1.0,None,"['singapore', 38, 'aavail_unlimited', 12]",0.1,000:00:00
70cbf1c5-7113-4e94-aa0c-c220f09b7a03,1609249099.7223868,0.0,None,"['united_states', 17, 'aavail_premium', 17]",0.1,000:00:00
61b7e415-3bc2-4cfd-9d80-0ab8a4c280ec,1609249099.722637,0.0,None,"['united_states', 19, 'aavail_unlimited', 19]",0.1,000:00:00
e1c52190-15aa-47c9-af0f-f8038a9b19cd,1609249099.722889,0.0,None,"['united_states', 40, 'aavail_premium', 5]",0.1,000:00:00
d2476f99-04bd-4074-9685-af36a08a3a9b,1609249099.7231412,0.0,None,"['singapore', 24, 'aavail_basic', 20]",0.1,000:00:00
5ec56095-4d4d-4f66-ae02-84de0c068018,1609249099.723392,1.0,None,"['singapore', 42, 'aavail_premium', 12]",0.1,000:00:00
617110d1-7428-4d88-8d86-ef494fea6cab,1609249099.7236428,0.0,None,"['united_states', 19, 'aavail_basic', 19]",0.1,000:00:00
166ae3b7-5f85-4856-870f-3810cdff1bf6,1609249099.7238941,0.0,None,"['united_states', 20, 'aavail_basic', 16]",0.1,000:00:00
eafb153b-2943-4882-a52d-b1e9548398cf,1609249099.724146,0.0,None,"['united_states', 20, 'aavail_unlimited', 10]",0.1,000:00:00
ef22f208-4e13-4f99-bc6e-79887fc5968f,1609249099.7243981,0.0,None,"['united_states', 18, 'aavail_unlimited', 17]",0.1,000:00:00
d4f68014-8e2a-4ed4-8aa2-7e2989272e4e,1609249099.724648,1.0,None,"['singapore', 19, 'aavail_premium', 10]",0.1,000:00:00
cd61d1bc-9614-420e-9871-88ea311a9440,1609249099.724899,1.0,None,"['singapore', 14, 'aavail_premium', 21]",0.1,000:00:00
bc6bd10e-d839-40b5-b1c3-6504b08b5994,1609249099.725151,0.0,None,"['singapore', 21, 'aavail_basic', 19]",0.1,000:00:00
bb53dd9f-7e31-4c43-b16c-fb1a39b2856e,1609249099.725402,0.0,None,"['united_states', 23, 'aavail_basic', 8]",0.1,000:00:00
5196c44e-3e14-4a75-a2b3-722dd80a6ebc,1609249099.725653,0.0,None,"['singapore', 18, 'aavail_basic', 19]",0.1,000:00:00
ef3e9ff7-a460-4bde-8ea4-bd12cb20a644,1609249099.725906,1.0,None,"['singapore', 25, 'aavail_premium', 9]",0.1,000:00:00
63965073-1ac1-406c-9bbf-a48fba2397d8,1609249099.7261598,0.0,None,"['singapore', 19, 'aavail_basic', 20]",0.1,000:00:00
440c8e7c-3f7e-4279-a5f4-0d1658b359de,1609249099.726411,0.0,None,"['united_states', 88, 'aavail_premium', 111]",0.1,000:00:00
9939fc7b-77b5-4484-b971-e63d4759ab44,1609249099.7266638,1.0,None,"['singapore', 90, 'aavail_unlimited', 100]",0.1,000:00:00
7a41ced0-575d-475a-9715-780e2debcfbc,1609249099.7269151,0.0,None,"['united_states', 76, 'aavail_premium', 80]",0.1,000:00:00
9388d7c6-606d-41ca-8e35-5072bbdb68c9,1609249099.727168,0.0,None,"['united_states', 80, 'aavail_basic', 90]",0.1,000:00:00
685d96c9-0b0e-4983-bc29-c4936fc7997e,1609249099.727419,1.0,None,"['singapore', 68, 'aavail_premium', 150]",0.1,000:00:00
